warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:04:5 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:04:6 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:04:6 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:05:9 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:05:10 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:05:10 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:05:28 PM 
info: Payload validation check || timestamp: 22-07-2023 12:05:28 PM 
error: Payload validation Error: "insight" length must be less than or equal to 2 characters long || timestamp: 22-07-2023 12:05:28 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:05:50 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:05:51 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:05:51 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:13:51 PM 
info: Payload validation check || timestamp: 22-07-2023 12:13:51 PM 
info: Payload validation successfull || timestamp: 22-07-2023 12:13:51 PM 
info: GFF Data inserted to DB || timestamp: 22-07-2023 12:13:51 PM 
info: Email sent successfully to Ping || timestamp: 22-07-2023 12:13:52 PM 
warn: Server started at with Environment :: dev || timestamp: 22-07-2023 12:15:6 PM 
info: Example app listening on port 1600! || timestamp: 22-07-2023 12:15:7 PM 
warn: DEV-Database connection Successfull || timestamp: 22-07-2023 12:15:7 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:15:27 PM 
info: Payload validation check || timestamp: 22-07-2023 12:15:27 PM 
info: Payload validation successfull || timestamp: 22-07-2023 12:15:27 PM 
info: GFF Data inserted to DB || timestamp: 22-07-2023 12:15:27 PM 
info: Email sent successfully to Ping || timestamp: 22-07-2023 12:15:28 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:16:12 PM 
info: Payload validation check || timestamp: 22-07-2023 12:16:12 PM 
error: Payload validation Error: "insight" length must be less than or equal to 2 characters long || timestamp: 22-07-2023 12:16:12 PM 
info: GFF Contact Submit API hit reached || timestamp: 22-07-2023 12:17:4 PM 
info: Payload validation check || timestamp: 22-07-2023 12:17:4 PM 
error: Payload validation Error: "insight" length must be less than or equal to 2 characters long || timestamp: 22-07-2023 12:17:4 PM 
